,full_text,created_at
0,TOLONG FYP TIKTOD KU ISIE VIDEO MAHFUD MD VS DPR TERUS ğŸ˜­ğŸ˜­,2023-04-03 06:01:36+00:00
1,"@asumsico Semalem baru liat debat antara DPR vs prof. Mahfud MD, prof mahfud berkata jika RAT tersangka tapi di sanggah oleh DPR blm ada pernyataan tersangka, tidak mungkin prof mahfud berbicara tanpa data. My mind proff sudah tau jika RAT tersangka tapi blm di publish media",2023-03-30 08:55:19+00:00
2,"Nantang ngebacot. 
Saya perkirakan 349T takan terungkap.

Ngambang lalu lenyap. https://t.co/GpJpiio3yR",2023-03-27 11:50:49+00:00
3,"Seru euy DPR VS MAHFUD MD 
https://t.co/JFbcDERCPY",2023-03-29 19:10:01+00:00
4,Panas Mahfud MD Vs Anggota DPR | Nasib Polwan Cantik Diduga 'Flexing' https://t.co/DSL7UXc3hI,2023-03-29 04:18:31+00:00
5,"DPR vs Mahfud,  Mahfud MD menang Telak 0 - 7
Terkesan Ada upaya DPR untuk menghalangi penegakan hukum 
ğŸ¤”ğŸ˜³ğŸ˜¬ğŸ˜¡ğŸ‘ŠğŸ¤œğŸ’ªğŸ’ªğŸ‘ğŸ‘ğŸ’šğŸ’šğŸ’šğŸ’šğŸ‡®ğŸ‡©ğŸ‡®ğŸ‡©ğŸ‡®ğŸ‡©ğŸ‡®ğŸ‡©ğŸ‡®ğŸ‡©ğŸ‡®ğŸ‡©ğŸ‡®ğŸ‡©ğŸ‡®ğŸ‡©ğŸ‡®ğŸ‡©ğŸ‡®ğŸ‡©ğŸ‡®ğŸ‡© https://t.co/bgx2Ppic1V",2023-03-29 14:49:16+00:00
6,"Mahfud MD vs Komisi III DPR Soal Transaksi Siluman Rp 349 T Kemenkeu, Siapa Keok?
https://t.co/w7HpM6mI4G",2023-03-27 22:45:39+00:00
7,"mahfud md vs dpr
seru !",2023-03-29 10:11:37+00:00
8,"ADU MEKANIK KASUS RP. 349 TRILIUN... DPR VS MAHFUD MD

#BubarkanDPRPercepatPemilu 
#BubarkanDPRPercepatPemilu 
ğŸ†˜ğŸ†— https://t.co/zEJd7YfgCH",2023-03-29 06:15:13+00:00
9,"Yuk gelar tikar bentar lagi mulai Mahfud MD vs DPR âœï¸

#DukungMahfudMD https://t.co/NS20X9RzZd",2023-03-29 07:16:33+00:00
10,@grace_nat @mohmahfudmd Coba buat pooling.. Mahfud MD vs DPR komisi 3 (arteria/benny/johan). Saya yakin rakyat lbh banyak yg memilih Mahfud MD drpd yg ngaku2nya wakil rakyat..,2023-03-30 02:13:04+00:00
11,"ADU MEKANIK KASUS 349 T DPR VS MAHFUD MD

#BersamaMMDBasmiKorupsi
#BersamaMMDBasmiKorupsi
ğŸ†˜ğŸ†— https://t.co/sHOXuL0v7j",2023-03-30 05:43:08+00:00
12,"@geloraco oknum DPR+oknum istana+oknum kementrian+mafia hukum alias koruptor VS menkopolhukam+mahfud md + seluruh rakyat republik Indonesia = ???
game of death https://t.co/ppuhnwgOq1",2023-03-30 12:33:52+00:00
13,Panas! Debat Arteria VS Benny K Harman Buntut Mahfud MD Sebut DPR Markus https://t.co/vtc8sP2tsq,2023-03-29 16:04:09+00:00
14,"Mahfud MD vs Komisi III DPR Soal Transaksi Siluman Rp 349 T Kemenkeu, Siapa Keok?
https://t.co/tNMF1EwwnW",2023-03-27 04:30:00+00:00
15,"Mahfud MD vs DPR memanas!

Waduh, makin panas aja nih Pak Mahfud dan DPR. ğŸ‘€

#mahfudmd #bennykharman #arteriadahlan #arsulsani #DPR #makelarkasus #transaksijanggal #pinterpolitik #beritapolitik #infografis #politik #politikIndonesia #fyp #foryoupage #foryourpage https://t.co/9neSLnrAFP",2023-03-31 02:07:23+00:00
16,"#BersamaMMDBasmiKorupsi 
#BersamaMMDBasmiKorupsi 
@HendryanaLubis
@AlvinVi52468704
@Pribumi_awam
@dyta0303
@RKUHPbiadab2022
@UsangJelihim
@Zay34562
@taosophie
@HMMurah3
@VDraculae2323
@KerajanPutra
@MSinaruddin
@zulkifli_gsxs
8 https://t.co/mtzg3F1Mld",2023-03-30 03:54:04+00:00
17,Mahfud MD vs Komisi III DPR soal 349 triliun https://t.co/qPBLukq49o,2023-03-29 13:10:49+00:00
18,"Dewan yg terhormat bukannya senang &amp; mendukung temuan PPATK utk ditindak-lanjuti .. ini malah dibuat gonjang-ganjing membagongkan !!! 

Mahfud MD vs Komisi III DPR Soal Transaksi Siluman Rp 349 T Kemenkeu, Siapa Keok ??

https://t.co/lztxzKd5Qr https://t.co/zpBlB8ReQj",2023-03-27 05:46:30+00:00
19,"I'm not into politic, But Sir Mahfud MD 1 vs Squad (DPR) is kinda crazy",2023-03-29 14:37:56+00:00
20,"Pembantaian, Mutilasi, Premanisme, Arogansi, Korupsi, Pembunuhan, Drugs, Dead Penalty, Gratifikasi.

Masih belum cukup juga,
Cancel Fifa, Atlit Mental Medsos, Jualan Kesedihan, Mahfud Md vs DPRâ€¦ 

Memang butuh mental yang kuat buat hidup disini.",2023-04-01 06:15:59+00:00
21,,2009-09-05 09:13:06+00:00
22,,2017-05-12 16:49:54+00:00
23,,2022-04-14 17:05:09+00:00
24,,2010-03-23 17:15:48+00:00
25,,2017-09-24 13:06:06+00:00
26,,2020-06-11 07:25:44+00:00
27,,2018-08-27 06:48:58+00:00
28,,2019-09-01 10:06:54+00:00
29,,2023-03-18 13:07:04+00:00
30,,2021-06-16 04:49:01+00:00
31,,2016-11-16 06:12:03+00:00
32,,2012-01-06 07:14:25+00:00
33,,2017-07-19 18:38:59+00:00
34,,2020-12-19 05:54:12+00:00
35,,2012-04-29 04:25:42+00:00
36,,2009-09-04 02:56:13+00:00
37,,2020-03-28 07:37:49+00:00
38,,2018-06-12 02:29:35+00:00
39,,2021-01-04 02:58:05+00:00
40,,2016-11-16 07:20:46+00:00
41,,2022-07-27 03:11:55+00:00
42,"Laga Panas Mahfud Md vs Trio Keras di Gelanggang Komisi III DPR Semalam 

#BersamaMMDBasmiKorupsi
#BersamaMMDBasmiKorupsi
ğŸ†˜ğŸ†—

https://t.co/Di8D7kVlql",2023-03-30 06:56:59+00:00
43,"Kisruh Pildun âœ…
Mahfud MD Vs DPR âœ…

Menjelang tahun politik, Indonesia selalu di obok-obok manusia2 tamak, jadi pengen minjem Gloves nya Thanos.",2023-03-30 10:51:18+00:00
44,"Big match hari ini: Mahfud MD (menko polhukam) vs Benny Harman (DPR), Soal transaksi Rp300TÂ kemenkeu",2023-03-28 21:13:15+00:00
45,"*Komisi III DPR RI vs Mahfud MD akan bongkar terkait Dana mencurigakan Rp 349 Triliun di Kemenkeu*
https://t.co/VpimnIAZ8Y",2023-03-29 08:48:33+00:00
46,Baru denger Rapat Mahfud MD. vs DPR. kelas prof mahfud wkwkwk ğŸ‘,2023-04-01 01:18:57+00:00
47,MAHFUD MD VS DPR RI 1-0,2023-03-29 16:20:41+00:00
48,"DPC Partai Demokrat Manggarai Barat, NTT, akan menggelar nobar adu argumentasi Menko Polhukam Mahfud MD vs Anggota Komisi III DPR Benny K Harman. 

via: @detikbali_ https://t.co/geHBkSAuSe",2023-03-28 15:28:59+00:00
49,"selain drama gagalnya event WC u-20 di Indonesia, drama mahfud md vs dpr komisi 3 juga mewarnai suramnya hari ini",2023-03-29 16:10:56+00:00
50,Seru liat debat pak mahfud MD vs DPR ğŸ˜ Menkopolhukam kok dilawan,2023-03-29 11:21:46+00:00
51,"Indonesia hari ini :
1. Gagalnya penyelenggaraan pildun u-20 di Indonesia

2. Ramenya Mahfud MD vs DPR vs Kemenkeu bahas PPTAK",2023-03-30 10:23:17+00:00
52,DPR Arteria dahlan vs prof mahfud md hihihi! https://t.co/cbg7YGhYCU,2023-04-02 07:36:49+00:00
53,"@geloraco oknum DPR+oknum istana+oknum kementrian+mafia hukum alias koruptor VS menkopolhukam+mahfud md + seluruh rakyat republik Indonesia..
game of deathğŸ”¥

ini bukan kegaduhan negara tetapi temuan yg menggaduhkan para penjahat !! Gas ğŸ”¥ https://t.co/VXp3OLahKN",2023-03-27 13:01:06+00:00
54,@unromanthic Owh yg ini wkakakakak di skakmat sama pengamat bola lewat ayat2 langsung diem anj ğŸ¤£ğŸ¤£ğŸ¤£ next nonton mahfud md vs dpr seru kali ye,2023-04-01 19:15:14+00:00
55,"Sumpah gajeâ€¦ Tadi sore ga sengaja liat berita tentang Mahfud Md vs Everybody alias anggota DPR Komisi III di TV. Terpantau jam 23.12-00.56 masih pantengin hasil rapatnya ğŸ˜­ Murid saya aja kalo debat nunggu temannya selesai ngomong dulu baru intrupsi, ini malah kaya bocil TK ğŸ˜­ğŸ™ğŸ¼",2023-04-01 17:59:36+00:00
56,"ngeliat mahfud MD vs DPR, terlepas dari isi argumennya, sebenernya harusnya yang kayak gini sidang antara eksekutif dan legislatif. ""berantem"" gituloh. saling kritik, saling check and balance.

bukan kongkalikong diem-diem buat nabrak aturan lolosin UU yang ngerugiin rakyat.",2023-03-29 14:31:13+00:00
57,"Mahfud MD vs Komisi III DPR Soal Transaksi Siluman Rp 349 T Kemenkeu, Siapa Keok? https://t.co/Wllw319izv",2023-03-28 02:03:03+00:00
58,"Politisi PDI-P Ingatkan Mahfud, Jokowi Tak Suka Menteri yang Berisik https://t.co/dX80hCLlEq",2023-03-29 19:43:49+00:00
59,"Lanjutan Duel Mahfud MD vs DPR, Arsul Sani Minta Sri Mulyani Hadir Agar Tak Saling Menyalahkan: Anggota Komisi III DPR RI Arsul Sani mengungkapkan kelanjutan duel antara DPR dengan Mahfud MD terkait transaksi mencurigakan. https://t.co/hd1ZQ4XQHX",2023-03-31 11:51:33+00:00
60,"Menunggu 'pertarungan' logika, antara pak mahfud md vs anggota komisi 3 DPR RI ttg indikasi TPPU 300 T d Lingkungan kementrian keuangan.",2023-03-27 21:21:17+00:00
61,"Komisi III DPR vs Mahfud MD terbaru, gokil",2023-03-31 16:17:44+00:00
62,"@geloraco oknum DPR+oknum istana+oknum kementrian+mafia hukum alias koruptor VS menkopolhukam+mahfud md + seluruh rakyat republik Indonesia
game of death https://t.co/liMx5QFCZi",2023-03-27 12:54:55+00:00
63,,2019-01-26 11:40:50+00:00
64,,2019-06-28 14:44:19+00:00
65,,2013-10-22 13:16:56+00:00
66,,2018-02-10 09:01:10+00:00
67,,2020-09-08 08:43:01+00:00
68,,2009-03-08 19:32:04+00:00
69,,2023-03-18 13:07:04+00:00
70,,2018-03-25 01:39:18+00:00
71,,2022-06-19 09:22:22+00:00
72,,2009-08-27 03:03:05+00:00
73,,2016-03-18 09:42:14+00:00
74,,2011-12-17 00:11:05+00:00
75,,2009-07-21 18:48:20+00:00
76,,2021-11-06 11:39:03+00:00
77,,2012-07-02 13:11:38+00:00
78,,2012-11-11 08:20:46+00:00
79,,2010-09-23 12:25:46+00:00
80,,2022-01-04 20:29:02+00:00
81,,2013-12-03 12:11:36+00:00
82,,2016-11-16 07:20:46+00:00
83,"Malam ini:
Indonesia gagal jadi tuan rumah PD U-20
Mahfud MD vs Komisi II DPR Ri",2023-03-29 15:45:18+00:00
84,"mahfud md vs dpr komisi 3 
seru seru",2023-03-29 15:54:13+00:00
85,"Keren banget adu mekanik pak Mahfud MD vs DPR, kelas pak Mahfud",2023-03-29 12:51:30+00:00
86,"Indonesia vs Israel
FIFA vs PSSI
Mahfud MD vs DPR RI
Jokowi l Ganjar Pranowo l Erick Thohir l

Berharap IBU PERTIWI senyum semanis dulu kala ğŸ™

Video hanya pemanis
@basuki_btp ğŸ¤Ÿ https://t.co/TcdRJP9bjO",2023-04-01 08:32:49+00:00
87,Yo pildun u-20 yo mahfud md vs dpr. Emang sing gawe streess ke dadi wni,2023-03-29 16:58:02+00:00
88,Mahfud MD vs Komisi III DPR ğŸ”¥ğŸ”¥ğŸ”¥,2023-03-29 14:30:56+00:00
89,"Udah ga ada selera lagi nonton perdebatan PEMBATALAN #U20WC Muuuuuuakkkkss
Mending ke kasus yg di DPR aja vs Pa Mahfud MD",2023-03-31 21:04:51+00:00
90,"Update! Vonis Mati Teddy Minahasa, Debat Panas Mahfud MD Vs DPR hingga Nasib Indonesia Gagal jadi Tuan Rumah
https://t.co/OBov2sRUCK",2023-04-02 08:58:49+00:00
91,Nonton pak Mahfud MD vs dpr ini seru juga,2023-03-30 12:00:24+00:00
92,Sbnrnya gak suka politik2an. Cm td berita dimana2 Pak Mahfud MD vs DPR. Trs ada akun yg pak Mahfud blg klo gak ada koruptor WNI/kepala dpt brp gitu gue lupa. Gue gak muluk2. Yg penting basmi koruptor. Uang bs nyari sendiri klo aman tentrem damai ekonomi stabil. Dah itu aja.,2023-03-29 13:12:56+00:00
93,Link Streaming Rapat Mahfud MD VS Komisi III DPR RI Bahas Transaksi Mencurigakan https://t.co/CQaewDToKq,2023-03-29 08:53:02+00:00
94,"buka sosmed isinya antara 2, yg ke satu ttg tetekbengek pildun yg ke dua ttg mahfud md vs komisi iii dpr ğŸŒğŸ¤¤ğŸ’”",2023-03-30 12:14:18+00:00
95,Hari ini DPR Vs Mahfud MD Soal Transaksi Janggal Rp349 T  https://t.co/qBegJ6xcOs,2023-03-29 02:55:35+00:00
96,"Kisah Mahfud MD Vs EveryBody
Terkait Korupsi 349 T di DPR, Keren pak

U-20 | Inisial R | Liverpool | Selamat PSM | Riko | April Mop | Hary Tanoe | ASEAN Data Science https://t.co/K8e6YVfo36",2023-03-31 18:10:25+00:00
97,"Mahfud MD vs Komisi III DPR Soal Transaksi Siluman Rp 349 T Kemenkeu, Siapa Keok?  

https://t.co/wYKRoBi1Km",2023-03-26 15:33:36+00:00
98,"Debat panas Arteria Dahlan vs Mahfud MD dan Emil Salim.

Politisi PDIP, Arteria Dahlan sedang ramai dibincangkan oleh warga net usai rapat Komisi III DPR. Pasalnya, sikap yang emosional menyerang balik ke Mahfud MD terkait dana Rp349 triliun. https://t.co/JU6F1cVQMF",2023-03-31 14:33:02+00:00
99,"Oh ya, selama seminggu tepar di RS kemarin, ada 3 aktivitas yg dilakukan:

- Membaca Psikologi Pendidikan (John Santrock)
- Mengikuti RDPU Mahfud MD vs Komisi III DPR
- Mengikuti pemberitaan pembatalan Piala Dunia.

Jadi, hikmah abis sakit ya kesal dgn 2 berita terakhir. ğŸ˜…",2023-04-01 13:46:46+00:00
100,Fyp tiktok berubah menjadi Pak Mahfud MD VS Sekantor DPR ğŸ˜‚,2023-03-30 06:38:45+00:00
101,Seru banget sih Mahfud MD VS DPR ğŸ‘,2023-03-29 15:22:10+00:00
102,"Mahfud md vs dpr, U20 batal, sepertinya wakanda perlu di ruqiah",2023-03-29 20:50:20+00:00
103,,2012-11-16 04:58:02+00:00
104,,2014-12-20 03:57:40+00:00
105,,2020-04-15 14:31:17+00:00
106,,2012-10-12 18:48:21+00:00
107,,2020-11-10 08:42:12+00:00
108,,2019-08-23 08:15:07+00:00
109,,2012-03-23 01:09:17+00:00
110,,2018-08-28 14:27:03+00:00
111,,2014-07-08 06:33:36+00:00
112,,2020-03-31 11:12:34+00:00
113,,2013-02-15 08:13:23+00:00
114,,2020-12-17 02:53:19+00:00
115,,2023-03-01 10:27:17+00:00
116,,2020-02-25 02:05:45+00:00
117,,2022-12-16 13:55:55+00:00
118,,2022-08-09 04:46:19+00:00
119,,2022-04-22 01:03:57+00:00
120,,2016-02-29 01:05:51+00:00
121,,2011-09-06 20:47:05+00:00
122,,2019-11-21 11:01:05+00:00
123,"seru bgt nonton live rpd transaksi janggal 349T komisi dpr 3 vs mahfud md, emosi keegoisannya kenceng bgt",2023-03-29 10:01:31+00:00
124,"Video Full Debat Panas Mahfud MD vs DPR Bahas Transaksi Janggal Kemenkeu: https://t.co/6LhQoABJAk â€“ Menteri Koordinator Politik, Hukum, dan Keamanan Mahfud MD menghadiri Rapat Dengar Pendapat Umum (RDPU) di Komisi III DPR 

The post Video Full Debatâ€¦ https://t.co/hfkWiTaINX https://t.co/xHUAggu2tm",2023-03-29 18:30:15+00:00
125,"@vvotanet Pas bangett nihh momennya mumpung dpr vs mahfud md, gass diviralkan bir kyk seventeenğŸ¤£",2023-03-30 01:51:26+00:00
126,"DPR vs Mahfud MD skor 0-5

Menurut Rocky Gerung, me-reshuffle Mahfud MD sebagai Menko Polhukam akan membuat kemarahan di ranah publik.

https://t.co/cdTW1Id9qk https://t.co/s3Ypa7BQmz",2023-03-31 05:41:27+00:00
127,DPR. Vs Mahfud md,2023-03-30 05:18:14+00:00
128,"Kapan ne live pak Mahfud MD Vs Komisi 3 DPR RI soal aliran dana 300 T. 
DPR yg sesumbar minta panggil pak Mahfud skrg jgn ada alasan DPR tdk hadir, krn p Mahfud sdh siap hadapi mereka
Sy dukung p MahfudğŸ‘",2023-03-27 10:17:08+00:00
129,"Mobil masuk ke landasan, Isu terkait kemenkeu dan bawahannya dari pajak sampai bea cukai, THR yg ga full 100%

isu melengserkan SMI ini menarik hahaha.

sementara itu banyak yg kemakan buzzer jadi isu Mahfud MD vs DPR",2023-03-29 10:35:33+00:00
130,"@__AnakKolong Bikin poling resmi aj suruh milih DPR vs Mahfud MD ..pasti pak Mahfud menang telak, ya kanğŸ˜€",2023-04-02 22:41:43+00:00
131,"@mohmahfudmd saksikan semifinal Pak @mohmahfudmd vs Komisi III DPR RI....
prediksi skor 3 - 0 untuk Pak Mahfud MD....",2023-03-26 01:59:39+00:00
